b:1,ΗΜΕΡΑ,l:Δευτέρα
b:1,ΕΝΑΡΞΗ,l:16:00
b:1,ΛΗΞΗ,l:18:00
b:1,ΜΑΘΗΜΑ,u:Διοίκηση Ασφάλειας
b:1,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:1,ΔΙΔΑΣΚΩΝ,u:Α. ΤΣΩΧΟΥ
b:2,ΗΜΕΡΑ,l:Δευτέρα
b:2,ΕΝΑΡΞΗ,l:18:00
b:2,ΛΗΞΗ,l:20:00
b:2,ΜΑΘΗΜΑ,u:Ηλεκτρονική
b:2,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:2,ΔΙΔΑΣΚΩΝ,u:Π.
b:3,ΗΜΕΡΑ,l:Τρίτη
b:3,ΕΝΑΡΞΗ,l:9:00
b:3,ΛΗΞΗ,l:11:00
b:3,ΜΑΘΗΜΑ,u:Ηλεκτρονική
b:3,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:3,ΔΙΔΑΣΚΩΝ,u:Π.
b:4,ΗΜΕΡΑ,l:Τρίτη
b:4,ΕΝΑΡΞΗ,l:11:00
b:4,ΛΗΞΗ,l:13:00
b:4,ΜΑΘΗΜΑ,u:Διοίκηση Ασφάλειας
b:4,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:4,ΔΙΔΑΣΚΩΝ,u:Α. ΤΣΩΧΟΥ
b:5,ΗΜΕΡΑ,l:Τρίτη
b:5,ΕΝΑΡΞΗ,l:13:00
b:5,ΛΗΞΗ,l:15:00
b:5,ΜΑΘΗΜΑ,u:Παράλληλος
b:5,ΑΙΘΟΥΣΑ,u:Εργ.Αρε
b:5,ΔΙΔΑΣΚΩΝ,u:Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
b:6,ΗΜΕΡΑ,l:Τρίτη
b:6,ΕΝΑΡΞΗ,l:15:00
b:6,ΛΗΞΗ,l:17:00
b:6,ΜΑΘΗΜΑ,u:Αποθήκες
b:6,ΑΙΘΟΥΣΑ,u:Εργ.Γαλ
b:6,ΔΙΔΑΣΚΩΝ,u:Κ. ΚΕΡΜΑΝΙΔΟ
b:7,ΗΜΕΡΑ,l:Τρίτη
b:7,ΕΝΑΡΞΗ,l:17:00
b:7,ΛΗΞΗ,l:19:00
b:7,ΜΑΘΗΜΑ,u:Επεξεργασία
b:7,ΑΙΘΟΥΣΑ,u:Αιθ.1
b:7,ΔΙΔΑΣΚΩΝ,u:Ι. ΚΑΡΥΔΗΣ
b:8,ΗΜΕΡΑ,l:Τετάρτη
b:8,ΕΝΑΡΞΗ,l:11:00
b:8,ΛΗΞΗ,l:13:00
b:8,ΜΑΘΗΜΑ,u:Στρατηγική και
b:8,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:8,ΔΙΔΑΣΚΩΝ,u:Α. ΠΑΤΕΛΗ
b:9,ΗΜΕΡΑ,l:Τετάρτη
b:9,ΕΝΑΡΞΗ,l:13:00
b:9,ΛΗΞΗ,l:15:00
b:9,ΜΑΘΗΜΑ,u:Κοινωνικός και
b:9,ΑΙΘΟΥΣΑ,u:Αιθ.2
b:9,ΔΙΔΑΣΚΩΝ,u:Φ. ΜΥΛΩΝΑΣ
b:10,ΗΜΕΡΑ,l:Τετάρτη
b:10,ΕΝΑΡΞΗ,l:15:00
b:10,ΛΗΞΗ,l:17:00
b:10,ΜΑΘΗΜΑ,u:Παράλληλος
b:10,ΑΙΘΟΥΣΑ,u:Εργ.Αρε
b:10,ΔΙΔΑΣΚΩΝ,u:Μ. ΣΤΕΦΑΝΙΔΑΚΗΣ
b:11,ΗΜΕΡΑ,l:Τετάρτη
b:11,ΕΝΑΡΞΗ,l:17:00
b:11,ΛΗΞΗ,l:19:00
b:11,ΜΑΘΗΜΑ,u:Επεξεργασία
b:11,ΑΙΘΟΥΣΑ,u:Εργ.Γαλ
b:11,ΔΙΔΑΣΚΩΝ,u:Ι. ΚΑΡΥΔΗΣ
